Brand Name,Product Name,Colour,Price,Currency,Product ID,URL
ASOS DESIGN,ASOS DESIGN - DODGER - Tennis,Noir,9.99,EUR,1274239,asos-design/asos-design-dodger-tennis/prd/9755725?clr=noir&colourWayId=15067214
ASOS DESIGN,ASOS DESIGN - Dodger - Tennis pointure large,Noir,9.99,EUR,1275784,asos-design/asos-design-dodger-tennis-pointure-large/prd/9775340?clr=noir&colourWayId=15068987
ASOS DESIGN,ASOS DESIGN - Dexter - Tennis à enfiler - Noir,Noir,14.99,EUR,1461699,asos-design/asos-design-dexter-tennis-a-enfiler-noir/prd/12112415?clr=noir&colourWayId=16389557
ASOS DESIGN,ASOS DESIGN - Dexter - Tennis pointure large à enfiler - Noir,Noir,14.99,EUR,1440930,asos-design/asos-design-dexter-tennis-pointure-large-a-enfiler-noir/prd/11837738?clr=noir&colourWayId=16389828
ASOS DESIGN,ASOS DESIGN - Dustin - Baskets à lacets - Noir,PU noir,26.99,EUR,1316900,asos-design/asos-design-dustin-baskets-a-lacets-noir/prd/10257517?clr=pu-noir&colourWayId=15106449
ASOS DESIGN,ASOS DESIGN - Discus - Baskets pointure large,Maille noire et grise,28.49,EUR,1379931,asos-design/asos-design-discus-baskets-pointure-large/prd/11018910?clr=maille-noire-et-grise&colourWayId=16309559
ASOS DESIGN,ASOS DESIGN - Day light - Baskets à lacets et épaisse semelle plateforme,Noir,28.99,EUR,1155740,asos-design/asos-design-day-light-baskets-a-lacets-et-epaisse-semelle-plateforme/prd/8679841?clr=noir&colourWayId=15210284
ASOS DESIGN,ASOS DESIGN - Dennis - Baskets chunky,Noir,35.49,EUR,1340055,asos-design/asos-design-dennis-baskets-chunky/prd/10532936?clr=noir&colourWayId=15125123
ASOS DESIGN,ASOS Design - Decency - Baskets à lacets - Noir,Black/white stitch,35.99,EUR,1468518,asos-design/asos-design-decency-baskets-a-lacets-noir/prd/12206906?clr=black-white-stitch&colourWayId=16404104
ASOS DESIGN,ASOS DESIGN - Drama - Baskets épaisses à lacets - Noir,Noir,35.99,EUR,1464112,asos-design/asos-design-drama-baskets-epaisses-a-lacets-noir/prd/12145183?clr=noir&colourWayId=16364749
ASOS DESIGN,ASOS DESIGN - Drama - Baskets épaisses à lacets,Noir,35.99,EUR,1383073,asos-design/asos-design-drama-baskets-epaisses-a-lacets/prd/11057552?clr=noir&colourWayId=16323654
ASOS DESIGN,ASOS DESIGN - Distance - Baskets chunky,Noir,37.99,EUR,1374369,asos-design/asos-design-distance-baskets-chunky/prd/10947573?clr=noir&colourWayId=16305963
ASOS DESIGN,ASOS DESIGN - Darkness - Baskets montantes épaisses style randonnée - Noir,Noir,37.99,EUR,1411157,asos-design/asos-design-darkness-baskets-montantes-epaisses-style-randonnee-noir/prd/11462903?clr=noir&colourWayId=16330085
ASOS DESIGN,ASOS DESIGN - Denmark - Baskets chunky - Noir,Noir,54.99,EUR,1476471,asos-design/asos-design-denmark-baskets-chunky-noir/prd/12314037?clr=noir&colourWayId=16412847
ASOS DESIGN,ASOS DESIGN - Discover - Grosses baskets montantes - Noir,Noir,54.99,EUR,1417218,asos-design/asos-design-discover-grosses-baskets-montantes-noir/prd/11534966?clr=noir&colourWayId=16392939
Armani Exchange,Armani Exchange - Baskets compensées,Noir,214.99,EUR,1402642,armani-exchange/armani-exchange-baskets-compensees/prd/11352042?clr=noir&colourWayId=16352135
Bershka,Bershka - Baskets chunky - Noir,Noir,39.49,EUR,1404317,bershka/bershka-baskets-chunky-noir/prd/11361125?clr=noir&colourWayId=16342920
